institution_code,institution_abbreviation,institution_name,metric,year,value
H09,UL,University of Limpopo,Coloured,2013,26
H09,UL,University of Limpopo,Indian,2013,132
H09,UL,University of Limpopo,White,2013,278
H09,UL,University of Limpopo,Total,2013,22914
H09,UL,University of Limpopo,African,2014,22959
H09,UL,University of Limpopo,Coloured,2014,18
H09,UL,University of Limpopo,Indian,2014,139
H09,UL,University of Limpopo,White,2014,268
H09,UL,University of Limpopo,Total,2014,23384
H09,UL,University of Limpopo,African,2015,18894
H09,UL,University of Limpopo,Coloured,2015,3
H09,UL,University of Limpopo,Indian,2015,5
H09,UL,University of Limpopo,White,2015,5
H09,UL,University of Limpopo,Total,2015,18907
H09,UL,University of Limpopo,African,2016,19820
H09,UL,University of Limpopo,Coloured,2016,7
H09,UL,University of Limpopo,Indian,2016,3
H09,UL,University of Limpopo,White,2016,6
H09,UL,University of Limpopo,Other,2016,7
H09,UL,University of Limpopo,Total,2016,19843
H10,NMU,Nelson Mandela University,African,2009,15446
H10,NMU,Nelson Mandela University,Coloured,2009,3467
H10,NMU,Nelson Mandela University,Indian,2009,631
H10,NMU,Nelson Mandela University,White,2009,5953
H10,NMU,Nelson Mandela University,Total,2009,25497
H10,NMU,Nelson Mandela University,African,2010,15602
H10,NMU,Nelson Mandela University,Coloured,2010,3594
H10,NMU,Nelson Mandela University,Indian,2010,585
H10,NMU,Nelson Mandela University,White,2010,6338
H10,NMU,Nelson Mandela University,Total,2010,26119
H10,NMU,Nelson Mandela University,African,2011,15627
H10,NMU,Nelson Mandela University,Coloured,2011,3672
H10,NMU,Nelson Mandela University,Indian,2011,377
H10,NMU,Nelson Mandela University,White,2011,6562
H10,NMU,Nelson Mandela University,Other,2011,18
H10,NMU,Nelson Mandela University,Total,2011,26256
H10,NMU,Nelson Mandela University,African,2012,16096
H10,NMU,Nelson Mandela University,Coloured,2012,3675
H10,NMU,Nelson Mandela University,Indian,2012,361
H10,NMU,Nelson Mandela University,White,2012,6463
H10,NMU,Nelson Mandela University,Other,2012,2
H10,NMU,Nelson Mandela University,Total,2012,26597
H10,NMU,Nelson Mandela University,African,2013,15933
H10,NMU,Nelson Mandela University,Coloured,2013,3690
H10,NMU,Nelson Mandela University,Indian,2013,319
H10,NMU,Nelson Mandela University,White,2013,6419
H10,NMU,Nelson Mandela University,Total,2013,26361
H10,NMU,Nelson Mandela University,African,2014,15984
H10,NMU,Nelson Mandela University,Coloured,2014,3711
H10,NMU,Nelson Mandela University,Indian,2014,467
H10,NMU,Nelson Mandela University,White,2014,6348
H10,NMU,Nelson Mandela University,Total,2014,26510
H10,NMU,Nelson Mandela University,African,2015,15899
H10,NMU,Nelson Mandela University,Coloured,2015,3705
H10,NMU,Nelson Mandela University,Indian,2015,486
H10,NMU,Nelson Mandela University,White,2015,6215
H10,NMU,Nelson Mandela University,Total,2015,26305
H10,NMU,Nelson Mandela University,African,2016,17265
H10,NMU,Nelson Mandela University,Coloured,2016,3939
H10,NMU,Nelson Mandela University,Indian,2016,519
