institution_code,institution_abbreviation,institution_name,year,gender,value
H07,UJ,University of Johannesburg,2012,Total,48769
H07,UJ,University of Johannesburg,2013,Female,25998
H07,UJ,University of Johannesburg,2013,Male,22388
H07,UJ,University of Johannesburg,2013,Other,
H07,UJ,University of Johannesburg,2013,Total,48386
H07,UJ,University of Johannesburg,2014,Female,26583
H07,UJ,University of Johannesburg,2014,Male,23206
H07,UJ,University of Johannesburg,2014,Other,
H07,UJ,University of Johannesburg,2014,Total,49789
H07,UJ,University of Johannesburg,2015,Female,25797
H07,UJ,University of Johannesburg,2015,Male,23655
H07,UJ,University of Johannesburg,2015,Other,
H07,UJ,University of Johannesburg,2015,Total,49452
H07,UJ,University of Johannesburg,2016,Female,26820
H07,UJ,University of Johannesburg,2016,Male,24975
H07,UJ,University of Johannesburg,2016,Other,
H07,UJ,University of Johannesburg,2016,Total,51795
H08,KZN,University of Kwazulu-Natal,2009,Female,22838
H08,KZN,University of Kwazulu-Natal,2009,Male,16026
H08,KZN,University of Kwazulu-Natal,2009,Other,
H08,KZN,University of Kwazulu-Natal,2009,Total,38864
H08,KZN,University of Kwazulu-Natal,2010,Female,24172
H08,KZN,University of Kwazulu-Natal,2010,Male,17052
H08,KZN,University of Kwazulu-Natal,2010,Other,
H08,KZN,University of Kwazulu-Natal,2010,Total,41224
H08,KZN,University of Kwazulu-Natal,2011,Female,24560
H08,KZN,University of Kwazulu-Natal,2011,Male,17202
H08,KZN,University of Kwazulu-Natal,2011,Other,
H08,KZN,University of Kwazulu-Natal,2011,Total,41762
H08,KZN,University of Kwazulu-Natal,2012,Female,24371
H08,KZN,University of Kwazulu-Natal,2012,Male,17493
H08,KZN,University of Kwazulu-Natal,2012,Other,
H08,KZN,University of Kwazulu-Natal,2012,Total,41864
H08,KZN,University of Kwazulu-Natal,2013,Female,25730
H08,KZN,University of Kwazulu-Natal,2013,Male,18272
H08,KZN,University of Kwazulu-Natal,2013,Other,
H08,KZN,University of Kwazulu-Natal,2013,Total,44002
H08,KZN,University of Kwazulu-Natal,2014,Female,26523
H08,KZN,University of Kwazulu-Natal,2014,Male,18942
H08,KZN,University of Kwazulu-Natal,2014,Other,
H08,KZN,University of Kwazulu-Natal,2014,Total,45465
H08,KZN,University of Kwazulu-Natal,2015,Female,26400
H08,KZN,University of Kwazulu-Natal,2015,Male,19106
H08,KZN,University of Kwazulu-Natal,2015,Other,
H08,KZN,University of Kwazulu-Natal,2015,Total,45506
H08,KZN,University of Kwazulu-Natal,2016,Female,26619
H08,KZN,University of Kwazulu-Natal,2016,Male,19853
H08,KZN,University of Kwazulu-Natal,2016,Other,
H08,KZN,University of Kwazulu-Natal,2016,Total,46472
H09,UL,University of Limpopo,2009,Female,8662
H09,UL,University of Limpopo,2009,Male,7637
H09,UL,University of Limpopo,2009,Other,
H09,UL,University of Limpopo,2009,Total,16299
H09,UL,University of Limpopo,2010,Female,9708
H09,UL,University of Limpopo,2010,Male,8497
H09,UL,University of Limpopo,2010,Other,
H09,UL,University of Limpopo,2010,Total,18205
H09,UL,University of Limpopo,2011,Female,11148
H09,UL,University of Limpopo,2011,Male,9356
H09,UL,University of Limpopo,2011,Other,
H09,UL,University of Limpopo,2011,Total,20504
H09,UL,University of Limpopo,2012,Female,12042.999999998512
H09,UL,University of Limpopo,2012,Male,10205.999999998792
H09,UL,University of Limpopo,2012,Other,
H09,UL,University of Limpopo,2012,Total,22248.999999997304
H09,UL,University of Limpopo,2013,Female,12405
H09,UL,University of Limpopo,2013,Male,10509
H09,UL,University of Limpopo,2013,Other,
H09,UL,University of Limpopo,2013,Total,22914
H09,UL,University of Limpopo,2014,Female,12716
H09,UL,University of Limpopo,2014,Male,10668
H09,UL,University of Limpopo,2014,Other,
H09,UL,University of Limpopo,2014,Total,23384
H09,UL,University of Limpopo,2015,Female,10025
