field_of_study,year,race,program_type,graduates
Humanities and social sciences,2014,White,Doctorate,288.17
Natural sciences,2015,African,Undergraduate,13345.66
Natural sciences,2015,African,PG < Masters,2446.75
Natural sciences,2015,African,Masters,1142.0
Natural sciences,2015,African,Doctorate,377.5
Natural sciences,2015,Coloured,Undergraduate,981.42
Natural sciences,2015,Coloured,PG < Masters,269.42
Natural sciences,2015,Coloured,Masters,108.75
Natural sciences,2015,Coloured,Doctorate,39.0
Natural sciences,2015,Indian,Undergraduate,753.58
Natural sciences,2015,Indian,PG < Masters,269.92
Natural sciences,2015,Indian,Masters,117.25
Natural sciences,2015,Indian,Doctorate,67.5
Natural sciences,2015,White,Undergraduate,3647.0
Natural sciences,2015,White,PG < Masters,1464.17
Natural sciences,2015,White,Masters,790.33
Natural sciences,2015,White,Doctorate,278.75
Engineering and technology,2015,African,Undergraduate,9985.5
Engineering and technology,2015,African,PG < Masters,531.83
Engineering and technology,2015,African,Masters,575.25
Engineering and technology,2015,African,Doctorate,84.0
Engineering and technology,2015,Coloured,Undergraduate,687.42
Engineering and technology,2015,Coloured,PG < Masters,44.08
Engineering and technology,2015,Coloured,Masters,66.33
Engineering and technology,2015,Coloured,Doctorate,4.0
Engineering and technology,2015,Indian,Undergraduate,914.58
Engineering and technology,2015,Indian,PG < Masters,74.33
Engineering and technology,2015,Indian,Masters,133.08
Engineering and technology,2015,Indian,Doctorate,16.0
Engineering and technology,2015,White,Undergraduate,3164.92
Engineering and technology,2015,White,PG < Masters,600.58
Engineering and technology,2015,White,Masters,750.42
Engineering and technology,2015,White,Doctorate,107.0
Health sciences,2015,African,Undergraduate,5353.67
Health sciences,2015,African,PG < Masters,1437.58
Health sciences,2015,African,Masters,694.5
Health sciences,2015,African,Doctorate,106.5
Health sciences,2015,Coloured,Undergraduate,772.58
Health sciences,2015,Coloured,PG < Masters,306.75
Health sciences,2015,Coloured,Masters,86.0
Health sciences,2015,Coloured,Doctorate,13.0
Health sciences,2015,Indian,Undergraduate,810.0
Health sciences,2015,Indian,PG < Masters,140.08
Health sciences,2015,Indian,Masters,191.5
Health sciences,2015,Indian,Doctorate,30.0
Health sciences,2015,White,Undergraduate,2275.75
Health sciences,2015,White,PG < Masters,533.08
Health sciences,2015,White,Masters,564.08
Health sciences,2015,White,Doctorate,94.75
"Business, economic and management sciences",2015,African,Undergraduate,29220.5
"Business, economic and management sciences",2015,African,PG < Masters,4949.08
"Business, economic and management sciences",2015,African,Masters,1338.83
"Business, economic and management sciences",2015,African,Doctorate,130.83
"Business, economic and management sciences",2015,Coloured,Undergraduate,2511.83
"Business, economic and management sciences",2015,Coloured,PG < Masters,568.17
"Business, economic and management sciences",2015,Coloured,Masters,122.67
"Business, economic and management sciences",2015,Coloured,Doctorate,6.0
"Business, economic and management sciences",2015,Indian,Undergraduate,2427.17
"Business, economic and management sciences",2015,Indian,PG < Masters,1105.25
"Business, economic and management sciences",2015,Indian,Masters,279.5
"Business, economic and management sciences",2015,Indian,Doctorate,25.5
"Business, economic and management sciences",2015,White,Undergraduate,6357.0
"Business, economic and management sciences",2015,White,PG < Masters,3186.33
"Business, economic and management sciences",2015,White,Masters,915.58
"Business, economic and management sciences",2015,White,Doctorate,87.83
Education,2015,African,Undergraduate,18611.0
Education,2015,African,PG < Masters,8193.0
Education,2015,African,Masters,343.75
Education,2015,African,Doctorate,189.0
Education,2015,Coloured,Undergraduate,1333.33
Education,2015,Coloured,PG < Masters,712.75
Education,2015,Coloured,Masters,46.0
Education,2015,Coloured,Doctorate,19.0
Education,2015,Indian,Undergraduate,800.5
Education,2015,Indian,PG < Masters,461.33
Education,2015,Indian,Masters,57.0
Education,2015,Indian,Doctorate,23.0
Education,2015,White,Undergraduate,2919.75
Education,2015,White,PG < Masters,2232.17
Education,2015,White,Masters,154.33
Education,2015,White,Doctorate,68.0
Humanities and social sciences,2015,African,Undergraduate,22361.67
Humanities and social sciences,2015,African,PG < Masters,3932.75
Humanities and social sciences,2015,African,Masters,1540.67
Humanities and social sciences,2015,African,Doctorate,345.17
Humanities and social sciences,2015,Coloured,Undergraduate,2447.42
Humanities and social sciences,2015,Coloured,PG < Masters,491.83
Humanities and social sciences,2015,Coloured,Masters,205.25
Humanities and social sciences,2015,Coloured,Doctorate,40.0
Humanities and social sciences,2015,Indian,Undergraduate,1251.17
Humanities and social sciences,2015,Indian,PG < Masters,282.08
Humanities and social sciences,2015,Indian,Masters,139.67
Humanities and social sciences,2015,Indian,Doctorate,35.0
Humanities and social sciences,2015,White,Undergraduate,5942.58
Humanities and social sciences,2015,White,PG < Masters,1836.67
Humanities and social sciences,2015,White,Masters,1100.25
Humanities and social sciences,2015,White,Doctorate,272.67
Natural sciences,2016,African,Undergraduate,13452.16
Natural sciences,2016,African,PG < Masters,2693.75
Natural sciences,2016,African,Masters,1298.84
Natural sciences,2016,African,Doctorate,429.0
Natural sciences,2016,Coloured,Undergraduate,1022.25
Natural sciences,2016,Coloured,PG < Masters,291.17
Natural sciences,2016,Coloured,Masters,104.33
Natural sciences,2016,Coloured,Doctorate,36.5
Natural sciences,2016,Indian,Undergraduate,954.58
Natural sciences,2016,Indian,PG < Masters,310.58
Natural sciences,2016,Indian,Masters,139.0
Natural sciences,2016,Indian,Doctorate,62.5
Natural sciences,2016,White,Undergraduate,3547.0
Natural sciences,2016,White,PG < Masters,1446.17
Natural sciences,2016,White,Masters,755.58
Natural sciences,2016,White,Doctorate,261.5
Engineering and technology,2016,African,Undergraduate,10193.92
Engineering and technology,2016,African,PG < Masters,569.83
Engineering and technology,2016,African,Masters,621.17
Engineering and technology,2016,African,Doctorate,122.0
Engineering and technology,2016,Coloured,Undergraduate,654.33
Engineering and technology,2016,Coloured,PG < Masters,53.17
Engineering and technology,2016,Coloured,Masters,65.33
Engineering and technology,2016,Coloured,Doctorate,9.0
Engineering and technology,2016,Indian,Undergraduate,983.0
Engineering and technology,2016,Indian,PG < Masters,73.58
Engineering and technology,2016,Indian,Masters,134.0
Engineering and technology,2016,Indian,Doctorate,23.0
Engineering and technology,2016,White,Undergraduate,3012.67
Engineering and technology,2016,White,PG < Masters,532.92
Engineering and technology,2016,White,Masters,723.0
Engineering and technology,2016,White,Doctorate,82.0
Health sciences,2016,African,Undergraduate,5591.75
Health sciences,2016,African,PG < Masters,1379.42
Health sciences,2016,African,Masters,742.92
Health sciences,2016,African,Doctorate,141.0
Health sciences,2016,Coloured,Undergraduate,841.92
Health sciences,2016,Coloured,PG < Masters,233.17
Health sciences,2016,Coloured,Masters,96.5
Health sciences,2016,Coloured,Doctorate,13.0
Health sciences,2016,Indian,Undergraduate,825.58
Health sciences,2016,Indian,PG < Masters,125.5
Health sciences,2016,Indian,Masters,240.25
Health sciences,2016,Indian,Doctorate,46.5
Health sciences,2016,White,Undergraduate,2298.92
Health sciences,2016,White,PG < Masters,414.5
Health sciences,2016,White,Masters,588.5
Health sciences,2016,White,Doctorate,100.0
"Business, economic and management sciences",2016,African,Undergraduate,31071.67
"Business, economic and management sciences",2016,African,PG < Masters,5322.5
"Business, economic and management sciences",2016,African,Masters,1625.92
"Business, economic and management sciences",2016,African,Doctorate,184.5
"Business, economic and management sciences",2016,Coloured,Undergraduate,2591.0
"Business, economic and management sciences",2016,Coloured,PG < Masters,601.08
"Business, economic and management sciences",2016,Coloured,Masters,177.5
"Business, economic and management sciences",2016,Coloured,Doctorate,4.0
"Business, economic and management sciences",2016,Indian,Undergraduate,2303.42
"Business, economic and management sciences",2016,Indian,PG < Masters,931.58
"Business, economic and management sciences",2016,Indian,Masters,298.08
"Business, economic and management sciences",2016,Indian,Doctorate,16.0
"Business, economic and management sciences",2016,White,Undergraduate,6255.33
"Business, economic and management sciences",2016,White,PG < Masters,3223.42
"Business, economic and management sciences",2016,White,Masters,854.0
"Business, economic and management sciences",2016,White,Doctorate,97.17
Education,2016,African,Undergraduate,21919.75
Education,2016,African,PG < Masters,9753.83
Education,2016,African,Masters,384.0
Education,2016,African,Doctorate,202.0
Education,2016,Coloured,Undergraduate,1635.75
Education,2016,Coloured,PG < Masters,792.08
Education,2016,Coloured,Masters,39.0
Education,2016,Coloured,Doctorate,17.5
Education,2016,Indian,Undergraduate,885.75
Education,2016,Indian,PG < Masters,483.0
Education,2016,Indian,Masters,32.0
Education,2016,Indian,Doctorate,19.0
Education,2016,White,Undergraduate,3290.92
Education,2016,White,PG < Masters,2277.58
Education,2016,White,Masters,153.67
Education,2016,White,Doctorate,52.0
Humanities and social sciences,2016,African,Undergraduate,25036.75
Humanities and social sciences,2016,African,PG < Masters,3804.66
Humanities and social sciences,2016,African,Masters,1646.17
Humanities and social sciences,2016,African,Doctorate,442.5
Humanities and social sciences,2016,Coloured,Undergraduate,2640.75
Humanities and social sciences,2016,Coloured,PG < Masters,521.33
Humanities and social sciences,2016,Coloured,Masters,246.34
Humanities and social sciences,2016,Coloured,Doctorate,36.0
Humanities and social sciences,2016,Indian,Undergraduate,1318.67
Humanities and social sciences,2016,Indian,PG < Masters,295.75
Humanities and social sciences,2016,Indian,Masters,164.67
Humanities and social sciences,2016,Indian,Doctorate,44.0
Humanities and social sciences,2016,White,Undergraduate,5580.17
Humanities and social sciences,2016,White,PG < Masters,1763.42
Humanities and social sciences,2016,White,Masters,1159.25
Humanities and social sciences,2016,White,Doctorate,269.33
